Id,Time[ns],1:UART: RX/TX
627,8599279200.00,2
628,8599290040.00,3
629,8599300880.00,0
630,8599311760.00,3
631,8599322600.00,2
632,8599333440.00,3
633,8599344280.00,6
634,8599355120.00,2
635,8599366000.00,0
636,8599376840.00,3
637,8599387680.00,1
638,8599398520.00,3
639,8599409360.00,3
640,8599420240.00,3
641,8599431080.00,A
642,8599441920.00,3
643,8599452760.00,4
644,8599463600.00,3
645,8599474480.00,5
646,8599485320.00,3
647,8599496160.00,A
648,8599507000.00,3
649,8599517840.00,3
650,8599528720.00,3
651,8599539560.00,0
652,8599550400.00,2
653,8599561240.00,0
654,8599572080.00,4
655,8599582960.00,7
656,8599593800.00,4
657,8599604640.00,D
658,8599615480.00,5
659,8599626320.00,4
660,8599637200.00,0
661,8599648040.00,D
662,8599658880.00,0
663,8599669720.00,A
664,8599680560.00,4
665,8599691440.00,3
666,8599702280.00,6
667,8599713120.00,F
668,8599723960.00,6
669,8599734800.00,E
670,8599745680.00,7
671,8599756520.00,4
672,8599767360.00,6
673,8599778200.00,5
674,8599789040.00,6
675,8599799920.00,E
676,8599810760.00,7
677,8599821600.00,4
678,8599832440.00,2
679,8599843280.00,D
680,8599854160.00,5
681,8599865000.00,4
682,8599875840.00,7
683,8599886680.00,9
684,8599897520.00,7
685,8599908400.00,0
686,8599919240.00,6
687,8599930080.00,5
688,8599940920.00,3
689,8599951760.00,A
690,8599962640.00,2
691,8599973480.00,0
692,8599984320.00,6
693,8599995160.00,1
694,8600006000.00,7
695,8600016880.00,0
696,8600027720.00,7
697,8600038560.00,0
698,8600049400.00,6
699,8600060240.00,C
700,8600071120.00,6
701,8600081960.00,9
702,8600092800.00,6
703,8600103640.00,3
704,8600114480.00,6
705,8600125360.00,1
706,8600136200.00,7
707,8600147040.00,4
708,8600157880.00,6
709,8600168720.00,9
710,8600179600.00,6
711,8600190440.00,F
712,8600201280.00,6
713,8600212120.00,E
714,8600222960.00,2
715,8600233840.00,F
716,8600244680.00,6
717,8600255520.00,A
718,8600266360.00,7
719,8600277200.00,3
720,8600288080.00,6
721,8600298920.00,F
722,8600309760.00,6
723,8600320600.00,E
724,8600331440.00,3
725,8600342320.00,B
726,8600353160.00,2
727,8600364000.00,0
728,8600374840.00,6
729,8600385680.00,3
730,8600396560.00,6
731,8600407400.00,8
732,8600418240.00,6
733,8600429080.00,1
734,8600439920.00,7
735,8600450800.00,2
736,8600461640.00,7
737,8600472480.00,3
738,8600483320.00,6
739,8600494160.00,5
740,8600505040.00,7
741,8600515880.00,4
742,8600526720.00,3
743,8600537560.00,D
744,8600548400.00,7
745,8600559280.00,5
746,8600570120.00,7
747,8600580960.00,4
748,8600591800.00,6
749,8600602640.00,6
750,8600613520.00,2
751,8600624360.00,D
752,8600635200.00,3
753,8600646040.00,8
754,8600656880.00,0
755,8600667760.00,D
756,8600678600.00,0
757,8600689440.00,A
758,8600700280.00,4
759,8600711120.00,3
760,8600722000.00,6
761,8600732840.00,F
762,8600743680.00,6
763,8600754520.00,E
764,8600765360.00,7
765,8600776240.00,4
766,8600787080.00,6
767,8600797920.00,5
768,8600808760.00,6
769,8600819600.00,E
770,8600830480.00,7
771,8600841320.00,4
772,8600852160.00,2
773,8600863000.00,D
774,8600873840.00,4
775,8600884720.00,C
776,8600895560.00,6
777,8600906400.00,5
778,8600917240.00,6
779,8600928080.00,E
780,8600938960.00,6
781,8600949800.00,7
782,8600960640.00,7
783,8600971480.00,4
784,8600982320.00,6
785,8600993200.00,8
786,8601004040.00,3
787,8601014880.00,A
788,8601025720.00,2
789,8601036560.00,0
790,8601047440.00,3
791,8601058280.00,4
792,8601069120.00,3
793,8601079960.00,6
794,8601090800.00,3
795,8601101680.00,4
796,8601112520.00,0
797,8601123360.00,D
798,8601134200.00,0
799,8601145080.00,A
800,8601155920.00,4
801,8601166760.00,3
802,8601177600.00,6
803,8601188440.00,F
804,8601199280.00,6
805,8601210160.00,E
806,8601221000.00,6
807,8601231840.00,E
808,8601242680.00,6
809,8601253520.00,5
810,8601264400.00,6
811,8601275240.00,3
812,8601286080.00,7
813,8601296920.00,4
814,8601307760.00,6
815,8601318640.00,9
816,8601329480.00,6
817,8601340320.00,F
818,8601351160.00,6
819,8601362040.00,E
820,8601372880.00,3
821,8601383720.00,A
822,8601394560.00,2
823,8601405400.00,0
824,8601416240.00,6
825,8601427120.00,3
826,8601437960.00,6
827,8601448800.00,C
828,8601459640.00,6
829,8601470480.00,F
830,8601481360.00,7
831,8601492200.00,3
832,8601503040.00,6
833,8601513880.00,5
834,8601524720.00,0
835,8601535600.00,D
836,8601546440.00,0
837,8601557280.00,A
838,8601568120.00,5
839,8601579000.00,6
840,8601589840.00,6
841,8601600680.00,1
842,8601611520.00,7
843,8601622360.00,2
844,8601633200.00,7
845,8601644080.00,9
846,8601654920.00,3
847,8601665760.00,A
848,8601676600.00,2
849,8601687440.00,0
850,8601698320.00,4
851,8601709160.00,1
852,8601720000.00,6
853,8601730840.00,3
854,8601741680.00,6
855,8601752560.00,3
856,8601763400.00,6
857,8601774240.00,5
858,8601785080.00,7
859,8601795960.00,0
860,8601806800.00,7
861,8601817640.00,4
862,8601828480.00,2
863,8601839320.00,D
864,8601850160.00,4
865,8601861040.00,5
866,8601871880.00,6
867,8601882720.00,E
868,8601893560.00,6
869,8601904400.00,3
870,8601915280.00,6
871,8601926120.00,F
872,8601936960.00,6
873,8601947800.00,4
874,8601958640.00,6
875,8601969520.00,9
876,8601980360.00,6
877,8601991200.00,E
878,8602002040.00,6
879,8602012920.00,7
880,8602023760.00,0
881,8602034600.00,D
882,8602045440.00,0
883,8602056280.00,A
884,8602067160.00,5
885,8602078000.00,6
886,8602088840.00,6
887,8602099680.00,1
888,8602110520.00,7
889,8602121360.00,2
890,8602132240.00,7
891,8602143080.00,9
892,8602153920.00,3
893,8602164760.00,A
894,8602175600.00,2
895,8602186480.00,0
896,8602197320.00,4
897,8602208160.00,F
898,8602219000.00,7
899,8602229880.00,2
900,8602240720.00,6
901,8602251560.00,9
902,8602262400.00,6
903,8602273240.00,7
904,8602284120.00,6
905,8602294960.00,9
906,8602305800.00,6
907,8602316640.00,E
908,8602327480.00,0
909,8602338320.00,D
